表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,
公開日：,2022年6月21日,,,,,,,
,,,,,,,,
***,調査又は集計していないもの,,,,,,,
-,データが得られないもの,,,,,,,
X,数値が秘匿されているもの,,,,,,,
,,,,,,,,
,,,,/項目 コード,C120110,,C120120,
調査年 コード,調査年,地域 コード,地域,/項目,C120110_課税対象所得【千円】,注釈,C120120_納税義務者数（所得割）【人】,注釈
2020100000,2020年度,6367,山形県 戸沢村,,3874511,,1707,
2020100000,2020年度,6381,山形県 高畠町,,25535011,,10132,
2020100000,2020年度,6382,山形県 川西町,,15730518,,6367,
2020100000,2020年度,6401,山形県 小国町,,8821483,,3202,
2020100000,2020年度,6402,山形県 白鷹町,,14377150,,5865,
2020100000,2020年度,6403,山形県 飯豊町,,7381260,,2937,
2020100000,2020年度,6426,山形県 三川町,,8719460,,3368,
2020100000,2020年度,6428,山形県 庄内町,,22758560,,9454,
2020100000,2020年度,6461,山形県 遊佐町,,13584428,,5748,
2020100000,2020年度,7201,福島県 福島市,,409804952,,131745,
2020100000,2020年度,7202,福島県 会津若松市,,150330823,,52919,
2020100000,2020年度,7203,福島県 郡山市,,466498195,,151582,
2020100000,2020年度,7204,福島県 いわき市,,454081944,,145688,
2020100000,2020年度,7205,福島県 白河市,,82977109,,27822,
2020100000,2020年度,7207,福島県 須賀川市,,94616512,,33886,
2020100000,2020年度,7208,福島県 喜多方市,,50838285,,19999,
2020100000,2020年度,7209,福島県 相馬市,,46981417,,15538,
2020100000,2020年度,7210,福島県 二本松市,,64556462,,24337,
2020100000,2020年度,7211,福島県 田村市,,38781959,,14984,
2020100000,2020年度,7212,福島県 南相馬市,,80097377,,26948,
2020100000,2020年度,7213,福島県 伊達市,,68803303,,26325,
2020100000,2020年度,7214,福島県 本宮市,,37225227,,13677,
2020100000,2020年度,7301,福島県 桑折町,,13032363,,5102,
2020100000,2020年度,7303,福島県 国見町,,9764431,,3801,
2020100000,2020年度,7308,福島県 川俣町,,14194583,,5417,
2020100000,2020年度,7322,福島県 大玉村,,10408082,,3997,
2020100000,2020年度,7342,福島県 鏡石町,,15195485,,5604,
2020100000,2020年度,7344,福島県 天栄村,,6179473,,2357,
2020100000,2020年度,7362,福島県 下郷町,,5298434,,2098,
2020100000,2020年度,7364,福島県 檜枝岐村,,529912,,213,
2020100000,2020年度,7367,福島県 只見町,,4160233,,1613,
2020100000,2020年度,7368,福島県 南会津町,,15847334,,6137,
